epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.7458093547821045,2.6770833333333335,12.0,35.33333338419596
1,1.6814662154515585,0.48626627604166667,90.66666666666667,100.0
2,0.7909139164288839,0.2673421223958333,94.66666666666667,100.0
3,0.671403345266978,0.2633740234375,93.0,100.0
4,0.6248153853416443,0.23393798828125,95.66666666666667,100.0
5,0.6029419469833374,0.21943318684895832,95.33333333333333,100.0
6,0.6070908832550049,0.2963427734375,93.0,99.66666666666667
7,0.6965434543291728,0.48720133463541665,87.33333333333333,98.66666666666667
8,0.8392150378227234,0.4671354166666667,85.33333333333333,100.0
9,0.788998790582021,0.5119921875,86.0,100.0
10,0.740129242738088,0.541962890625,84.0,99.33333333333333
11,0.7489699252446492,0.9550594075520833,77.0,93.33333333333333
12,0.8795466605822245,0.6616634114583333,83.00000020345053,97.33333333333333
13,0.7514256985982259,0.5673193359375,87.0,99.0
14,0.7687274384498596,0.6413997395833333,82.00000020345053,99.33333333333333
15,0.9510540239016215,0.7363883463541666,79.33333353678385,98.33333333333333
16,0.9276159437497457,0.7844571940104167,79.66666666666667,97.33333333333333
17,0.9056367365519206,0.9861083984375,74.66666687011718,95.0
18,0.9142651319503784,0.9367692057291667,73.66666666666667,96.0
19,0.9088937481244405,0.9631184895833333,73.33333333333333,98.0
20,1.0279726592699687,1.1172819010416666,70.33333343505859,93.66666666666667
21,1.124637991587321,1.19349609375,67.33333333333333,92.33333333333333
22,1.8451174799601238,2.333307291666667,21.333333536783854,66.66666666666667
23,2.7274049663543702,2.738958333333333,6.666666666666667,33.333333333333336
24,2.7436952495574953,2.734166666666667,6.666666666666667,33.333333333333336
25,2.735064821243286,2.7255729166666667,6.666666666666667,33.333333333333336
26,2.7265952809651695,2.71953125,6.666666666666667,33.333333333333336
27,2.718729019165039,2.715625,6.666666666666667,33.333333333333336
28,2.7188228384653725,2.713359375,6.666666666666667,33.333333333333336
29,2.7175146611531575,2.7119791666666666,6.666666666666667,33.333333333333336
