epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.722795066833496,2.721875,4.0,34.333333333333336
1,2.702674837112427,2.577890625,18.000000203450522,56.33333343505859
2,2.686008987426758,2.4446223958333335,15.666666768391927,64.66666687011718
3,2.6311983172098796,2.308294270833333,22.00000010172526,74.33333353678385
4,2.6270125484466553,2.261848958333333,25.666666768391927,78.00000020345053
5,2.586957508722941,2.16265625,32.33333343505859,80.00000020345053
6,2.5908073139190675,2.1406119791666667,29.00000010172526,80.33333343505859
7,2.555913429260254,2.133072916666667,33.0,78.00000020345053
8,2.530339002609253,2.055944010416667,36.333333333333336,82.0
9,2.51942928314209,2.0154817708333335,37.0,84.66666676839192
10,2.5321715831756593,2.0001106770833332,36.0,86.33333333333333
11,2.486782134373983,1.9490104166666666,45.66666676839193,86.33333353678385
12,2.502141990661621,1.9156770833333334,41.66666687011719,88.66666666666667
13,2.4557178846995034,1.9096354166666667,40.333333536783854,89.00000010172526
14,2.4943733247121176,1.8674869791666666,47.333333536783854,89.00000020345053
15,2.425609245300293,1.8958854166666668,44.00000010172526,88.0
16,2.462040424346924,1.9401692708333333,35.66666676839193,83.66666676839192
17,2.462594676017761,1.8052994791666668,42.00000010172526,89.33333343505859
18,2.4335133934021,1.783671875,46.666666666666664,89.33333343505859
19,2.4340959390004477,1.8384635416666666,35.333333333333336,87.33333333333333
20,2.4337198956807455,1.8056380208333334,46.66666687011719,90.33333343505859
21,2.423134438196818,1.7372721354166667,47.66666676839193,92.33333333333333
22,2.4195260334014894,1.7384765625,51.66666676839193,92.00000020345053
23,2.3795256932576496,1.7459114583333333,49.333333536783854,92.66666676839192
24,2.4150197807947795,1.9297395833333333,36.333333333333336,81.33333353678385
25,2.468094209035238,1.7277864583333333,47.00000010172526,91.00000020345053
26,2.3741108258565267,1.60640625,53.0,93.66666666666667
27,2.423977950414022,1.7335416666666668,50.66666687011719,91.33333333333333
28,2.361843328475952,1.68078125,47.0,92.0
29,2.392406997680664,1.656953125,45.00000020345052,94.0
30,2.3765602175394696,1.6939453125,51.33333343505859,89.33333343505859
31,2.3987594763437907,1.6514583333333333,49.66666676839193,91.66666676839192
32,2.3731104437510173,1.7463541666666667,40.33333343505859,92.00000020345053
33,2.3713473399480183,1.6374479166666667,54.66666687011719,90.00000010172526
34,2.370083041191101,1.62109375,51.333333536783854,91.00000020345053
35,2.3491396538416542,1.60234375,50.00000010172526,92.66666687011718
36,2.3433354250590006,1.6140494791666666,51.00000020345052,93.33333333333333
37,2.3634548632303876,1.6158333333333332,48.333333333333336,91.66666666666667
38,2.331414492925008,1.52607421875,57.00000010172526,93.66666666666667
39,2.2733683363596597,1.5741015625,50.666666666666664,93.00000020345053
40,2.344640582402547,1.6855208333333334,43.00000020345052,90.00000010172526
41,2.2702892700831097,1.5770703125,51.0,91.0
42,2.3115120697021485,1.5271028645833333,54.66666676839193,95.33333333333333
43,2.2856729809443155,1.4487369791666667,57.0,95.33333353678385
44,2.283510395685832,1.5093098958333333,55.66666676839193,94.00000020345053
45,2.323242209752401,1.5213411458333332,51.00000010172526,95.33333343505859
46,2.2831974109013875,1.4614192708333333,58.00000020345052,96.00000020345053
47,2.2884826771418254,1.4613671875,57.66666687011719,93.33333343505859
48,2.3128901290893555,1.5051236979166667,57.66666687011719,91.66666687011718
49,2.2733835554122925,1.4842838541666667,59.333333536783854,95.66666676839192
50,2.288987064361572,1.3768359375,60.666666666666664,95.66666676839192
51,2.25542151927948,1.3508333333333333,61.333333333333336,95.33333353678385
52,2.245847783088684,1.365390625,61.33333343505859,95.33333333333333
53,2.2769511270523073,1.4517578125,61.333333333333336,95.66666666666667
54,2.2642898670832317,1.4397005208333333,58.66666687011719,94.66666666666667
55,2.2681076590220135,1.3851236979166666,61.333333333333336,97.33333333333333
56,2.248807045618693,1.3532682291666667,63.33333343505859,95.33333333333333
57,2.252000649770101,1.3789453125,62.333333333333336,94.66666666666667
58,2.2253368520736694,1.3371744791666667,66.33333343505859,96.33333333333333
59,2.235631070137024,1.3400130208333334,65.00000020345053,95.33333333333333
60,2.221111369132996,1.3812630208333334,59.00000020345052,94.00000010172526
61,2.2201599979400637,1.2928255208333332,64.33333333333333,95.66666666666667
62,2.212245732943217,1.3039518229166667,65.66666666666667,95.66666666666667
63,2.139774842262268,1.2301822916666667,66.33333343505859,97.66666666666667
64,2.2059399302800498,1.3024869791666667,59.00000020345052,94.33333343505859
65,2.1841466776529948,1.2505989583333332,64.33333343505859,95.0
66,2.176266943613688,1.248984375,65.33333333333333,97.66666666666667
67,2.215728325843811,1.18380859375,68.00000010172526,96.0
68,2.1694725370407104,1.2751236979166667,67.33333343505859,95.33333333333333
69,2.2207160902023317,1.2529817708333333,65.00000010172526,95.33333333333333
70,2.2235822820663453,1.3086848958333333,62.0,96.66666666666667
71,2.1894002946217856,1.2976953125,62.00000010172526,93.00000010172526
72,2.223456999460856,1.3113151041666666,65.66666666666667,96.00000020345053
73,2.1709198904037477,1.1775130208333333,70.33333353678385,97.33333333333333
